0,1,2,3,4,5,6,7,8
CSE202 Digital Design,CSE252 Digital Design Laboratory,,,,,,,
CSE206 Microprocessor & Microcontrollers,CSE254 Microprocessor and Microcontroller Laboratory,,,,,,,
CSE258 Problem Solving Using Python,CSE 258 Problem Solving Using Python,CSE503 Technical Skills in Python,CSE1005 Programming in Python,Innovation Project Raspberry Pi Using Python,,,,
CSE2010 Operating Systems,CSE 3120 Operating System with Linux Internals,CSE2010_v02 Operating Systems,,,,,,
CSE2052 Distributed System,CSE2010_v02 Operating Systems,,,,,,,
CSA2003 Software Metrics and Quality Management,CSA 2003 Software Metrics and Quality Management,,,,,,,
CSE3098 Vulnerability Assessment and Penetration Testing,,,,,,,,
CSE3137 Text Mining And Analytics,CSE 3137 Text Mining and Analytics,,,,,,,
CSE1003 Innovation Project-Raspberry Pi Using Python,Innovation Project Raspberry Pi Using Python,,,,,,,
CSE2029 Web Data Analytics,,,,,,,,
CSE502 Technical Skills in Java,CSE 2008 Programming in Java (Object-Oriented Programming),CSE1001 Problem Solving using JAVA,,,,,,
CSE503 Technical Skills in Python,CSE 258 Problem Solving Using Python,CSE258 Problem Solving Using Python,CSE1005 Programming in Python,,,,,
CSE1004 Problem Solving Using C,CSE 1002 Innovation Project-Arduino Using Embedded C,CSE 151 Computer Programming,,,,,,
CSE1005 Programming in Python,CSE 258 Problem Solving Using Python,CSE258 Problem Solving Using Python,CSE503 Technical Skills in Python,Innovation Project Raspberry Pi Using Python,,,,
CSE2010_v02 Operating Systems,CSE 3120 Operating System with Linux Internals,CSE2010 Operating Systems,CSE2052 Distributed System,,,,,
CSE2069 Cloud Computing,CSE3127 Cloud Application Development,CSE3095 Cloud Security,CSE 2057 Cloud Computing and Virtualization,CSE 3095 Cloud Security,CSE233/CSE306 Cloud Computing,,,
CSE390 Front-end Full Stack Development,CSE 3150 Front-end Full Stack Development,CSE 390 Front-end Full Stack Development (Lab),,,,,,
CSE367 Data Visualization,CSE3033 Information Visualization,CSE2015 Data Analysis and Visualization,,,,,,
CSE2033 Go Programming,,,,,,,,
CSE2015 Data Analysis and Visualization,CSE3038 Applied Data Science with Python,CSE367 Data Visualization,,,,,,
CSE253 Database Management Systems Lab,,,,,,,,
CSE3080 Quantum Computing,,,,,,,,
CSE3076 Artificial Intelligence for Robotics,CSE3108 Expert Systems,CSE 3106 Robotic Process Automation Systems,CSE3006 Artificial Intelligence and Neural Networks,,,,,
Innovation Project Raspberry Pi Using Python,CSE258 Problem Solving Using Python,CSE1003 Innovation Project-Raspberry Pi Using Python,CSE1005 Programming in Python,,,,,
CSE2019 Foundations of Blockchain Technology,CSE3024 Emerging Areas in Blockchain,CSE3025 Industry Use Cases using Blockchain,CSE3022 Cryptocurrency Technology,CSE3020 Blockchain Technology and Applications,,,,
CSE3008 Machine Learning Techniques,CSE319 Machine Learning,CSE3087 Applied Machine Learning,CSE 261 Machine Learning Using Python,,,,,
CSE254 Microprocessor and Microcontroller Laboratory,CSE206 Microprocessor & Microcontrollers,,,,,,,
CSE3016 Neural Networks and Fuzzy Logic,CSE 3016 Neural Networks and Fuzzy Logic,,,,,,,
CSE2053 Enterprise Network Design,CSE 2053 Enterprise Network Design,,,,,,,
CSE6001 Deep Learning,CSE 3010 Deep Learning Techniques,,,,,,,
CSE3014 Fundamentals of Natural Language Processing,,,,,,,,
CSE3152 .NET Full Stack Development,CSE 3152 .NET Full Stack Development,CSE 392 .NET Full Stack Development (Lab),CSE302 Programming in C# and .NET Framework,,,,,
CSE391 Java Full Stack Development,CSE 3151 Java Full Stack Development,CSE 391 Java Full Stack Development (Lab),CSE301 Programming in Advanced JAVA,,,,,
CSE227 Software Engineering and Project Management,CSE2028 Statistical Foundation of Data Science,CSE 2014 Software Engineering,CSE 3050 Software Project Management,CSE 3040 Agile Structures and Frameworks,CSE248 Object-Oriented Analysis and Design with UML,CSE2014 Software Engineering,,
